company name,contact number,area,product category 1,product category 2,product category 3,company description
UK Exports,tel:+91 22 26419764,Mumbai - India,Textiles,"Fabrics, man-made fibres","Fabrics, man-made fibres, by use...","UK Exports Is Service Provider, Supplier & Exporter Of Printing Services, Designing Service On Fabric Like Cotton Fabric, Silk Fabric, Nylon Fabric Associated Companies: E-O-N Elements of Nature"
Marian Maritime Private Limited,tel:+91 22 26495589,Mumbai - India,"Oils, edible",Food,Coal...,"Marian Maritime Private Limited Is Supplier, Exporter & Importer Of Natural Gas, Crude Oil, Construction Materials, Metal Waste, Urea, Iron Ores, Coal, Steel, Other Metal Products, Cement"
Techno Trade International,tel:+91 22 28741930,Mumbai - India,Plastic products for the electrical and electronics industries,Plastic products,"Plastic boxes and enclosures, for the electrical and electronics industries...","Techno Trade International Is Manufacturer, Supplier, Importer, Exporter & Distributor Of Computers & Electronics Products."
Pushpa Agencies,tel:+91 22 28400658,Mumbai - India,"Textile, clothing, leather and shoemaking machinery and equipment",Textile carding and combing machinery and equipment,Yarn preparation machinery and equipment...,"Pushpa Agencies Is Dealer, Exporter & Importer Of Textile Machinery, Yarn Textile & Yarn Processing Machinery."
Unique Chemoplant Equipments,tel:+91 22 40736736,Mumbai - India,Glass fibre reinforced plastic (GRP) products,Plastic products,"Vessels, pressure, glass fibre reinforced plastic (GRP)...","Unique Chemoplant Equipments Is Manfacturer, Exporter & Importer Of Process Reaction Vessels, Heat Exchangers, Pressure Vessels, Agitators, Dryers & Mixers, Storage Tanks, Process Reaction Vessels. Group Companies: Dipesh Engineering Works Harsiddha Engineering Works Smruta Engineering Indus..."
Notandas Jewellers,tel:+91 22 26428616,Mumbai - India,"Precious stoneworking, watchmaking and jewellery","Diamonds, polished","Diamonds, colourless, polished...","Notandas Jewellers Is Manufacturer, Supplier, Exporter & Importer Of Diamonds, Deep Raddish Rubies, Green Emeralds, Cool Blue Sapphires, Semi Precious Stones Like Peridots, Turquoise, Topaz, Tourmaline, Aquamarine & Gold Jewellery."
Dexton Seating Systems & Furniture India Private Limited,tel:+91 22 28767891,Mumbai - India,Furniture and linen,Office furniture,"Tables, office...","Dexton Seating Systems & Furniture India Private Limited Manufacturer, Supplier, Exporter & Importer Of Office Chair & Office Furniture. Associated Companies: Delcon Electrical Private Limited"
D. M. Engineering Company,tel:+91 22 28803259,Mumbai - India,"Metal pipework, valves and containers","Cocks, metal, for compressed gas piping","Valves, cocks, taps and fittings, metal, by use...","D. M. Engineering Company Is Manufacturer, Importer & Exporter Of Water & Chemical Process Equipment, Cartridge Filter, Industrial Filter, Industrial Blowers, Pickling Tank, Air Handling Equipment, Degassifing System, Gas Scrubber, Absorption Tower, Industrial Piping, Static Mixers,Pressure..."
Calypso International,tel:+91 20 24464265,Pune - India,"Tyres and inner tubes, by vehicle type",Rubber products,Tyres and inner tubes for lorries and commercial vehicles...,"Calypso International Is Manufacturer, Supplier, Importer & Exporter Of Chemicals, Rubber & Plastic, Coatings & Process Chemicals, Food, Feed & Personal Care, Automotive & Construction, Tyre & Rubber."
3 A Exports,tel:+91 22 65523944,Mumbai - India,Industrial plants and crops,Agriculture and forestry,Inorganic chemicals NES...,"3 A Exports Is Supplier, Exporter & Importer Of Chemicals, Industrial & IT."
Bohra Exports,tel:+91 22 23415962,Mumbai - India,"Leathers, furs and their products","Fancy goods, leather","Card cases, passport holders and licence cases, leather...","Manufacturer and Exporter of Leather Products like Gents Leather Wallets, Ladies Leather Purse, Desktop Accessories, Leather Travel Items, Leather Corporate Gifts Items, Garment Accessories. Associated Companies: Bohra Engineering Trading Corporation"
Krishna Enterprise,tel:+91 22 23480252,Mumbai - India,Titanium compounds,Chemical base materials,"Titanium oxides (monoxide, dioxide, trioxide)...","Krishna Enterprise Is Supplier, Distributor, Importer & Exporter Of Chemicals. It Includes Resins & Hardeners, Pigments, Additives & Specialty Fillers."
Junsai Automatic Machinery (India)Private Limited,tel:+91 253 2461901,Nashik - India,Plastic packagings,Plastic products,"Vacuum packs, formed for packaging, plastic...","Junsai Automatic Machinery (India) Private Limited Is A Professional Manufacturer, Supplier, Exporter & Importer Engaged In High Frequency Welding Machine & Plastic Vacuum Forming Machine Such As Soft Film Vacuum Forming Machines, Thick Sheet Vacuum Forming Machines, High Frequency Welding M..."
Upasani Industrial Cooling Systems Private Limited,tel:+91 22 25855953,Thane - India,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Cooling systems,,"Upasani Industrial Cooling Systems Private Limited Is Manufacturer, Supplier & Exporter Of Industrial Chilling Equipments/Systems, Water Chiller, Cooling System."
Dharmesh Enterprises Private Limited,tel:+91 22 67989551,Mumbai - India,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Fans and ventilators,"Fans and ventilators, high temperature...","Dharmesh Enterprises Private Limited Is Distributor & Importer Of Electric Heat Guns & Heat Blowers, Bench-Top Heat Shrink Systems, Professional Level Butane-Powered Soldering Iron/Heat Tools, Entry Level Butane-Powered Soldering Iron/Heat Tools, Battery and Electric Powered Soldering Irons,..."
Adeka India Private Limited,tel:+91 22 40263301,Mumbai - India,Chemical products,Chemical products for detergents,Surfactants...,"Adeka India Private Limited Is Manufacturer, Supplier & Importer Of Food Material, Polymer Additives, Propylene Glycols, Surfactants, Reducing Agents, Peroxygen Chemicals, Lubricants, Recording Materials, Construction Materials, Epoxy Resins, Semiconductor Materials, Circuit Materials. Group: Fu..."
Branson Ultrasonics,tel:+91 22 66942711,Mumbai - India,Hygiene and cleaning,Industrial cleaning machinery and equipment NES,"Cleaning equipment, ultrasonic, industrial...","Branson Ultrasonics Is Manufacturer, Supplier, Exporter & Importer Of Ultrasonics Welding Machines, Vibrations, Hot Plate, Laser Spin Welding, Ultrasonic Precision Cleaning Machines & Plastic Joining Technologies, Metals. Associated Companies: Emerson Electric Co (India) Private Limited..."
Genex Marketing,tel:+91 22 28571259,Mumbai - India,Livestock and fish,Salmon,"Fish, saltwater...","Genex Marketing Is Dealer, Distributor & Importer Of Frozen & Chilled Products Like Indian Process Chicken & Pork Products, Chicken Sausages, Pork Sausages, Chicken Pepperoni, Frozen Prawns, Pasteurised Crab Meat, Scottish Salmon, Raw & Process Pork Products, Whole Duck, French Fries..."
AB Bioproducts India LLP,tel:+91 22 67583388,Mumbai - India,Food,Cocoa and chocolate products,Cocoa powder,"AB Bioproducts India LLP Is A Supplier & Importer Of Fungal Diastase, Pancreatin, Pepsin, Cellulase, Pancrealipase, Sacchromycus Boulardi, Leutin Ester, Cocoa Powder, Soya Protein, Fumerica Acid, Matlic Acid, Distillery & Strach, Veterinery Products, Pulp & Paper & Yeast...."
Consortech Tools India Limited,tel:+91 20 24002414,Pune - India,"Screwdrivers, spanners and similar tools","Hardware, ironmongery, cutlery and tools","Wrenches, torque...","Importers & Traders of Workshop Machines, Metal Core Drilling, Metal Working Tools, Industrial Tools."
Nivelco Instruments India Private Limited,tel:+91 20 25478313,Pune - India,Electronic sensors,Electronic equipment. Telecommunications equipment,"Sensors, ultrasonic...","Nivelco Instruments India Private Limited Is Manufacturer, Supplier, Exporter & Importer of Industrial Level Measurement & Control Products, Level Instruments, Switches, Transmitters Industrial, Sensors. Subsidiaries: Nivelco Messtechnik GmbH Nivelco Mjerna Tehnika d.o.o. Nivelco Bohemia s.r..."
Yash Tools India Private Limited,tel:+91 22 28631094,Mumbai - India,Tungsten compounds,Chemical base materials,"Springs, by use...","Yash Tools India Private Limited Is Manufacturer & Supplier Of Dies, Mold Polishinh & Finished Products."
Kushal Metal & Steel Industries,tel:+91 22 23736111,Mumbai - India,Basic metal products,"Semi-finished products, refined, special and tool steels",Tool steel rolled bars...,"Kushal Metal & Steel Industries Is Manufacturer, Supplier, Stockist & Importer Of Industrial Raw Material Of Tool Steel, Alloy Steel Bars, Plastic Mould Steel, Corrosion Resistant Mould Steel, Mould Base Steel, Hot & Cold Work Tool Steel, 2% Berrylium Copperm, Nickel Cromium Case Hardnin..."
Vision Technologies,tel:+91 22 26236558,Mumbai - India,"Metal turning machines, lathes",Machinery and equipment for metalworking,"Boring mills, metalworking","Vision Technologies Is A Dealer, Importer & Exporter Of CNC Lathes, Vertical Machining Centres, Horizontal Machining Centres, Boring Mills."
Iris Ingredients,tel:+91 22 26108550,Mumbai - India,Precursors for polymerisation,Chemical base materials,Cellulose ethers...,"Iris Ingredients Is A Supplier, Distributor & Importer Of Pharmaceuticals Excipients Such As Hydroxy Propyl Methyl Cellulose, Cross Povidone XL, Aspartame FCC/USP (Powder) & Crosscarmelose Sodium IP/BP/USP."
Chempi Fine Group Of Companies,tel:+91 22 25667774,Mumbai - India,Raw materials for pharmaceuticals,Chemical base materials,"Allantoin, allantoinates, for pharmaceuticals...","Chempi Fine Group Of Companies Is Manufacturer, Supplier, Importer & Exporter Of Drug Intermediates & Pharmaceuticals. API's Nutraceuticals, Raw Herbs & Herbal Extracts."
Brink Chemicals Private Limited,tel:+91 22 21710308,Thane - India,"Personal care products and cosmetics, organic",Organic products,Raw materials for pharmaceuticals...,"Brink Chemicals Private Limited Is A Supplier, Distributor, Exporter & Importer Of Natural & Specialised Ingredients For The Cosmetic, Pharmaceutical, Household & Food Industry. Associated Companies: Chemhouse Marketing Campo Research Radiant Inc E I Dupont De Nemours Rheo Solutions Neel..."
I. R. Technology Services Private Limited,tel:+91 22 67896600,Navi mumbai - India,Microscopes,"Optical, photographic and cinematographic equipment","Microscopes, measuring and reading","I. R. Technology Services Private Limited Is A Supplier & Importer Of Laboratory Analytical & Medical Instrument Like Microscope Metallurgical, XRF Analyser, X Ray Diffractometer, Microscope Measuring, 3D Laser Scanning Microscope, Digital Microscope, Microwave Synthesis, Magnetic Balance...."
Saksham Technologies Private Limited,tel:+91 22 28443636,Mumbai - India,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Autoclaves,,"Saksham Technologies Private Limited Is Manufacturer, Traders & Importer Of Laboratory Equipments Like Viscometer, Rheometers, Texture Analyzer, Fermentors, Autoclaves. Associated Companies: ESCO Biotech Private Limited"
Chephis Corporation,tel:+91 22 22004448,Mumbai - India,Ciprofloxacin,Chemical base materials,"Barbiturates, sulphonamides, glycosides, alkaloids and antibiotics...",Chephis Corporation Is Supplier & Importer Of Pharmaceuticals Products Such As Active Pharmaceutical Ingredient and Intermediates.
Sushila Parmar International Private Limited,tel:+91 20 24529999,Pune - India,Textiles,"Fabrics, man-made fibres","Fabrics, polyethylene (PE)...","Sushila Parmar International Private Limited Supplier, Distributor & Importer Of PVC Resin, CPVC Resin & Compounds. Ethylene Vinyl Acetate, Polyethylene, Polypropylene."
Amkette Analytics Limited,tel:+91 22 66141500,Mumbai - India,"Health, medical and pharmaceutical",Equipment and instruments for medical laboratories,"Centrifuges, medical use...","Amkette Analytics Limited Is Supplier, Distributor & Importer Of Analytical Instruments, Bioscience, Chromatography & Spectroscopy, Filtration Products, Laboratory Equipments, Scientific Instruments & Water Analysis. Group: ANM Group Group Companies: ANM Industries Private Limited..."
Medilux Laboratories Private Limited,tel:+91 22 25370562,Thane - India,Chemical products,Subcontractors for the chemical industry,"Classification services, fine chemicals","Medilux Laboratories Private Limited Is Manufacturer, Supplier, Exporter & Importer Of Drug Intermediates & Fine Chemicals Like Glucosamine, Fluconazole, Ketoconazole, Gabapantine, Telmisartan, Fluconazole, Torsemide, Baclofen."
Prijai Heat Exchangers Private Limited,tel:+91 22 27644430,Navi mumbai - India,"Pipes, tubes, ducts and pipelines, ferrous metals, by use","Metal pipework, valves and containers","Coils, ferrous, heat exchanger...","Prijai Heat Exchangers Private Limited Is Manufacturer, Supplier & Importer Of Coils, Copper Heaters, Copper Fittings & System Tunings, Condenser Coils, Evaporator Coils, CU Units."
Mas Additives Private Limited,tel:+91 22 28545733,Mumbai - India,Chemical products,Chemicals for textiles,Bonding agents for non-woven fabrics...,"Mas Additives Private Limited Is Manufacturer, Supplier, Distributor & Importer Of Polymer Additives, Stabilizers, Lubricants, Impact, Modifiers, Processing Aids, Flame Retardants, Bonding Agents, Smoke Suppressants."
Modi Enterprises,tel:+91 22 2880531,Mumbai - India,Plastic products,Plastic labels,"Labels, plastic, hot foil...","Modi Enterprises Is Supplier, Dealer & Importer Of Screen Printing Materials, Chemicals & Hot Stamping Foils. Associated Companies: All India Plastics Manufacturers' Association Bombay Master Printers' Association Screen Printers Association Of India..."
Engineering & Chemical India Private Limited,tel:+91 22 66608999,Mumbai - India,"Inorganic alkalis, hydroxides",Chemical base materials,Aluminium hydroxides/aluminium hydrates...,"Engineering & Chemical India Private Limited Is Supplier, Distributer & Importer Of Speciality Chemicals, Aluminium Hydroxide & Metal Complex Dyes, Iron Oxide Pigments, Aluminum Pigments. Group Companies: Engineering Chemical Corporation Engichem Specialities Private Limited..."
Electronica Hitech Machines Private Limited,tel:+91 20 30435400,Pune - India,"Machine tools, multifunctional, for metalworking",Machinery and equipment for metalworking,"Machining centres, horizontal, metalworking...","Electronica Hitech Machines Private Limited Is A Manufacturer & Importer Of Cutting Tools, Metal Forming Machines, Metal Cutting Machine, Wire Cut Machine, Edm Machine, Advance EDM Drill, Press Brake Machines, CNC Laser Cutting Machines, Turret Punch Press & Genuine Spare Parts. Group: SRP E..."
Sci Tech Books & Periodicals,tel:+91 22 26735260,Mumbai - India,Publishing: Trade and professional publications,Printing and publishing,Publishers of scientific reference books...,"Sci Tech Books & Periodicals Is Stockists, Distributor & Importer Of Books On Plastics, Printing, Chemical Engineering, Polymers, Inks & Colors, Pharmaceuticals, Extrusion, Paints & Coatings, Mechanical Engineering, Molding, Adhesives & Resins, Environmental Engineering, Rubbers,..."
Raj Process Equipment & Systems Private Limited,tel:+91 20 40710010,Pune - India,"Driers and drying plant, industrial, non-electric","Driers, fluid bed, industrial (non-electric)","Driers, hot air, industrial (non-electric)...","Raj Process Equipment & Systems Private Limited Is Manufacturer, Supplier, Importer & Exporter Of Spray Dryers, Rotary Dryers, Flash Dryers, Vaccum Dryers, High Intensive Mixers, Conical & Ribbon Blenders, Paddle Mixers, Evaporaters, Distillery Plant & Equipments, Starch Plants, Turn..."
Setco Chemicals India Private Limited,tel:+91 250 3294750,Thane - India,"Resins, synthetic","Resins, synthetic, for inks",Chemical base materials,"Setco Chemicals India Private Limited Is Manufacturer, Supplier Importer & Exporters of Printing Inks, Resins, Paints & Adhesives."
United Heat Transfer Private Limited,tel:+91 253 2382484,Nashik - India,"Metal pipework, valves and containers","Tanks, metal, for gases","Pressure vessels, metal...","United Heat Transfer Private Limited Is A Manufacturer, Supplier, Importer & Exporter Of Industrial Heat Exchangers, Pressure Vessels & Special Fabrications, Shell & Tube Heat Exchangers, Marine Coolers, After Coolers, Air Cooled Heat Exchangers, Extended Surface Heat Exchangers, Oil Coo..."
Ani Associates,tel:+91 22 66602230,Mumbai - India,"Pipes, tubes, ducts and hoses, plastic",Plastic products,"Pipes and tubes, plastic, quick coupling...","Ani Associates Is Manufacturer, Supplier & Importer Of Fluoropolymer, Smooth Bore, Thermoplastic, Elastomeric, Water Jet High Pressure Hoses, Hydraulic High Pressure Hoses, Automotive Transmission Drives/ Gear Box, Axle Drive Test Stands, Hydraulic, Mechanical, Aeronautical Test Stands, Teflon H..."
Euro Pratik Sales Corporation,tel:+91 22 26146556,Mumbai - India,Textiles,"Net and tulle, by use",Net for decorative panels...,"Euro Pratik Sales Corporation Is Supplier, Importer & Service Provider Of Laminates, Panels & Mouldings, Stone Panel, Interior & Exterior Designing With Visionary Products, Designs & Application Solutions In The Decorative Industry."
Udey Instruments,tel:+91 22 40261291,Mumbai - India,Rubber tubes and flexible hoses,Rubber products,"Hoses, rubber and man-made fibres...","Udey Instruments Is Manufacturer, Supplier, Exporter & Importer of Thermocouple Cable Extension Cable, Compensating Cable, RTD Cables, PTFE, ETFE, FEP Wires, Sheilding Cables Signal & Multicore/Pair, Wrapping Wires, Computer Cables, PTFE Coaxial Cables, EPR, EPDM, PCP, CSP Cables, Silicone R..."
Shail International Private Limited,tel:+91 22 28540800,Mumbai - India,"Rubber threads, cords, ribbons, straps and transmission belts",Rubber products,"Transmission belts, high torque drive (HTD), rubber","Shail International Private Limited Is A Supplier, Importer & Exporter Of Industrial Elatech Italy PU Belts, Open Belts, Carlisle HTD Belts, V Belts, Poly flex Belts, Timing Belts & Goodyear Eagle PD Belts."
Madovernuts.com,,Mumbai - India,Agriculture and forestry,"Nuts, edible",Almonds,"Madovernuts.com Is Supplier & Retailer Of Nuts, Dry Fruits, Spices & Seeds, Authentic Flavours Such As Honey Amla, Salted Pistachios, Mamra Almonds, Pecan Nuts, Brazil Nut, Hazelnuts, Pine Nuts."
Utturkars Wood Culture,tel:+91 20 24540000,Pune - India,"Timber, wooden products, machinery and equipment for the woodworking industry","Tools and accessories, wooden, for builders' joinery","Legs, wooden, for furniture...","Utturkars Wood Culture Is Manufacturer, Supplier & Importer Of Furniture Hardware & Furniture Components Such As Kd Fittings, Hinges, Drawer Slides, Drawer Systems, Internal Accessories, Corner Solutions, Lift Up Systems, Waste Systems, Lock Systems, Roller Shutter, Wardrobe Systems, Wardrob..."
Liebherr India Private Limited,tel:+91 22 41267500,Navi mumbai - India,Cranes,Handling and storage plant and equipment,"Cranes, portal...","Liebherr India Private Limited Is A Importer & Supplier Of Construction Machinery, Maritime Cranes, Mobile, Crawler Cranes, etc Group: Liebherr Group Associated Companies: Liebherr Machine Tools India Private Limited Liebherr CMCtec India Private Limited..."
Jayashree Electron Private Limited,tel:+91 20 46768998,Pune - India,Electrical equipment. Nuclear equipment,Electric switches,"Switches, proximity and limit...","Jayashree Electron Private Limited Is A Manufacturer, Supplier, Importer & Exporter Of Proximity Switch, Speed Switches, Soft Starters, Electronic Brake, Load Monitors, Counters, Timers, EN Oders, Belt, Automation & Control Products, Conveyors Safty Switches, Tranducers, Optical Barriers, Le..."
Kiarra Designs,tel:+91 22 66949187,Mumbai - India,Sawn wood,"Timber, wooden products, machinery and equipment for the woodworking industry","Veneer sheets, wood...","Kiarra Designs Is Manufacturer, Supplier, Exporter & Importer Of Decorative Veneer Sheet, Sibu Design Sheets, Faux Alabaster Sheets, Engineered Wooden Flooring, Acrylic Solid Surface Sheets, Denolex Solid Surface, Highlighting Wall Panels, Laminate Wooden Flooring, Wall Covering, Wall Panels...."
Sign Pharma Trade Services Private Limited,tel:+91 22 23481235,Mumbai - India,Inorganic chemicals NES,Chemical base materials,Arsenates...,"Sign Pharma Trade Services Private Limited Is Manufacturer, Supplier, Importer & Exporter Of Bulk Drugs-APIS, Pharmaceuticals Intermediates, Agro Chemicals-veterinary, Dyes- Pigment Intermediates & Fine Chemicals For Pharmaceuticals"
National Plastic Industries Limited,tel:+91 22 67669999,Mumbai - India,Plastic products for the furniture industry,Plastic products,"Moulded components, plastic, for furniture...","National Plastic Industries Limited Is Manufacturer, Supplier, Exporter & Importer Of Plastic Furniture and Moulded Furniture,Luxury Chairs, High Back Chairs, Mid Range Chairs, Economy Chairs, Without Arm Chair, Accessories, Stools,Baby Products, Buckets,Chopping Boards, Storage Boxes, Shopping..."
Aluplex India Private Limited,tel:+91 22 27699104,Navi mumbai - India,Metal constructions for the building industry,"Doors, metal","Doors, metal, sliding...","Aluplex India Private Limited Is A Manufacturer, Supplier & Importer Of Sliding Doors, Windows, Office Systems, Curtain Walling, Skylight."
Q-Pharma,tel:+91 22 26692671,Mumbai - India,Potassium compounds,Chemical base materials,Cephalosporin antibiotics...,"Q-Pharma Is Manufacture, Supplier, Agent, Exporter & Importer Of Phospholipid Products, Immunoglobulin Formulations, New Drug Delivery Systems & Intermediates."
Unilab Chemicals & Pharmaceuticals Private Limited,tel:+91 22 65704098,Mumbai - India,"Polyphenols, aldehydes, ketones, quinones",Chemical base materials,Chlorocresols...,"Unilab Chemicals & Pharmaceuticals Private Limited Is Manufacturer, Supplier, Exporter & Importer of Bulk Drugs & Formulations, Also Specializes in the Manufacture of Antiseptics and Disinfectants. Associated Companies: Zen Chemicals Private Limited..."
Scope Ingredients Private Limited,tel:+91 22 28711323,Mumbai - India,Sodium stearate,Sodium compounds,Chemical base materials...,"Scope Ingredients Private Limited Is A Distributor, Supplier & Importer Of Pharmaceutical, Food, Nutraceutical Ingrediants, Zinc stearate, Magnesium carbonate."
Novatech Projects India Private Limited,tel:+91 22 25478864,Thane - India,"Metal pipework, valves and containers","Tanks, metal, for gases","Pressure vessels, metal...","Novatech Projects India Private Limited Is Manufacturer, Supplier, Exporters & Importers of Pressure Vessels, Heat Exchangers, Columns, Reactors, Agitators, Autoclaves, Plant Piping, Petroleum Product Storage Tanks & Bullets, Technological Structures, Tankages, Mixers, Reaction Kettles. Divi..."
Jainam Electronics Private Limited,tel:+91 22 23851305,Mumbai - India,Electronic power supplies,Electronic equipment. Telecommunications equipment,Electronic assemblies and microcircuits...,"Jainam Electronics Private Limited Is Wholesalers, Suppliers, Distributors, Traders & Importers Of The Electronic Component Like Active, Discreet & Passive Electronic Components,"
Satellite Metals & Tubes Limited,tel:+91 22 66362133,Mumbai - India,"Coils, steel, hot rolled",Basic metal products,"Coils, stainless steel, hot rolled...","Satellite Metals & Tubes Limited Is Manufacturers, Supplier & Exporters Of Stainless Steel, Carbon Steel, Alloy Steel, Copper, Brass, Monel, Inconel, Aluminium, Hastalloy, Lead In The Shape Of Pipes, Tubes, Rods, Sheets, Plates, Wires, Angles, Coils, Strips And The Entire Range Of Pipefittin..."
Ranasur Machtech Technologies Private Limited,tel:+91 22 25473150,Thane - India,Wires and cables for telecommunications and electronics,Electronic equipment. Telecommunications equipment,,"Ranasur Machtech Technologies Private Limited Is Manufacturer, Supplier & Exporte Of Cable Optical Fibre, Wire, Power Cable Machinery, Jelly Filled Telephone Cable Machine, Optic Fibre Cable."
Sneha Medicare Private Limited,tel:+91 22 25006901,Mumbai - India,Raw materials for pharmaceuticals,Chemical base materials,Acetylcysteine for pharmaceuticals...,"Sneha Medicare Private Limited Is Manufacturer, Supplier, Exporter & Importer of Bulk Drugs, Pharmaceutical Formulations & Pharma Raw Materials."
Felder Woodworking Machines Private Limited,tel:+91 22 33734300,Mumbai - India,"Timber, wooden products, machinery and equipment for the woodworking industry",Wood boring and mortising machines,"Sanding machines, wood...","Felder Woodworking Machines Private Limited Is Manufacturer, Supplier, Exporter & Importer Of Panel Saw, Planer Thicknessers, Edgebanding Machines, Spindle Moulders, Veneer Presses, Drilling & Boring Machines, Corner Rounding Machine, Wooden Dust Extractor, Belt Sanders, Bandsaw Machine, Joi..."
Sanosil Biotech Private Limited,tel:+91 22 43112700,Mumbai - India,Chemical products,Pest control products,Biocides...,"Sanosil Biotech Private Limited Is A Manufacturer, Supplier, Exporter & Importer Of Disinfecants, Fumigents, Biocides, Fogging Machines, Cell Disintegrators. Associated Companies: Milltech Engineering Private Limited Collaboration with: Sanosil AG - Switzerland..."
Regent Steel & Engineering Company,tel:+91 22 23884555,Mumbai - India,"Coils, steel, hot rolled",Basic metal products,"Bars, steel and rolled steel...","Regent Steel & Engineering Company Is Exporters & Importers of Nickel Alloys Like Hastelloy Alloy, Monel Alooy, Incoloy Alloys & Exotic Materials."
Push Enterprises,tel:+91 22 28712993,Mumbai - India,"Accident prevention devices and equipment, industrial",Security equipment,"Footboards/running-boards, safety, industrial...","Push Enterprises Is The Manufacturer, Supplier, Exporter & Importers Of Mask Respirators, Protective Clothings & Other Industrial Safety Products."
K. Sevantilal & Company,tel:+91 22 24977100,Mumbai - India,"Barbiturates, sulphonamides, glycosides, alkaloids and antibiotics",Chemical base materials,Sulphadiazine...,"K. Sevantilal & Company Is Manufacturer, Supplier, Importer & Exporter Of Pharmaceutical Bulk Drugs, Vitamins & Feed Supplements."
June Enterprises Private Limited,tel:+91 22 27787979,Navi mumbai - India,"Rings and washers, rubber",Rubber products,"Metal pipework, valves and containers...","June Enterprises Private Limited Is Supplier, Importers & Exporter Of Sterlization Indicators And Validation, Autoclavable Floor, Wall & Ceiling Mopping System, Clean Room Coverall & Accessories, Lab Coat, Flexible Tubing & Fittings, TC Gasket & 'O' rings, Tubings & Fitting...."
Jay Chem Marketing,tel:+91 22 28020141,Mumbai - India,Silicon compounds,Chemical base materials,"Silica/silicon dioxide, silicic anhydride","Jay Chem Marketing Is A Distributor, Importer & Exporter Of Chemicals & Raw Materials for Pharma, Ink, Coating, Adhesives & Allied Industries. Also An Authorized Distributer Of Fumed Silica, Colloidal Silicone Dioxide."
J.B. Khokhani & Company,tel:+91 22 40441234,Mumbai - India,Importers and exporters,"General traders, department and retail stores","Importers-exporters, pharmaceuticals and medical supplies and equipment...","J.B. Khokhani & Company Is Manufacturer, Supplier, Exporter & Importer Of Bulk Drugs, Drugs Intermediates, Veterinary Medicines, API Sourcing & Distribution, Exclusive Marketing of Patented/Proprietary, Molecules, Nutraceutical Supplier, Indenting house and Contract Manufacturing of Form..."
Kwik Flex Industries,tel:+91 251 2470102,Thane - India,Rubber tubes and flexible hoses,Rubber products,"Hoses, rubber-natural fibres...","Kwik Flex Industries Is Manufacturer, Supplier, Importer & Exporter Of Hose Assemblies, Hose Couplings, Hose Fittings, Rubber Bellows, Valves & Manifolds, Instrumentation Fittings, Swivel Joint, Gaskets, Fasteners & Accessories."
A. B. Stainless Steel,tel:+91 22 67436659,Mumbai - India,"Pipes, tubes, ducts and pipelines, steel","Metal pipework, valves and containers","Pipes and tubes, stainless steel...","A.B. Stainless Steel Is a Leading Manufacturer, Supplier, Exporter & Importer of High Quality Stainless Steel Seamless & Welded Pipes & Tubes, Offering A Wide Range Of Products. The Precise Properties Of Pipes & Tubes Produced, Meet The Most Stringent Requirements. We Cater To The Ne..."
K Valves & Tubes Engineering Private Limited,tel:+91 22 22367057,Mumbai - India,"Pipes, tubes, ducts and hoses, plastic",Plastic products,"Pipes and tubes, acrylic...","K Valves & Tubes Engineering Private Limited Leading Manufactures, Importers, Exporters, Stockists & Suppliers Of Valves, Pipes, Pipe Fittings, Flanges, Gauges, Gaskets In All Sizes & Specifications."
Hemochrom,tel:+91 22 28923333,Mumbai - India,Chromatography equipment,Measuring and testing equipment,Chromatograph columns and accessories,"Hemochrom Is A Manufacturer, Supplier Of HPLC Columns, Analytics, Chrometography, Capillary Column Hardware, Guard Columns & Modular Column Hardware. Associated Companies: Ultrapure Analytics Kunder Chemicals Puthran Associates Herb & Health"
Ethachem,tel:+91 22 66332426,Mumbai - India,"Organic acids, their anhydrides and acid halides",Chemical base materials,Acetic acids...,"Ethachem Is Manufacturer & Supplier, Importer & Exporter Of Pharmaceuticals Products Like Bulk Drugs, API's & Intermediates & Fine Chemicals. Group: Ethachem Group Group Companies: Inspira Bio-Pharma Private Limited Olympia"
Aristo Flexipack,tel:+91 22 26855853,Mumbai - India,Plastic packagings,"Packaging sleeves, plastic","Bags and sacks, plastic...","Aristo Flexipack Is Manufacturer, Supplier, Exporters & Importers Of Plastic Granoels of Plain & Printed Poly Bags, Tubing's, Rolls, Sleeves, Films, Covers, Stretch Film, Hand Stretch Film, Machin Stretch Film, Liner Bags, Stretch Hood Film, Mulch Film, Courier Packing Bag, Anti Static Bag,..."
Cosmos International,tel:+91 22 28644685,Mumbai - India,Organic chemicals NES and mineral and organo-metallic compounds,Chemical base materials,Chrysarobin...,"Cosmos International Is Supplier, Importer & Services Provider Of Pharmaceutical & Intermediates, Excipients Sweeteners API & Intermediates, Organic, Inorganic Dyes & Intermediates & Other Products."
Chromatography World,tel:+91 22 43159100,Mumbai - India,Electrical equipment. Nuclear equipment,Electric lamps,Chromatography equipment...,"Chromatography World Is A Supplier Of Cells, Hplc Columns/Cartridges & Guard Column, Lamps, Minor Accessories & Syringe Filters."
